[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func1 (3 handlers)
[GIN-debug] POST   /v1/credit                --> github.com/scoobiii/realtime-credit-validator/src/gateway/handlers.(*GatewayHandler).AddCredit-fm (5 handlers)
2026/05/17 13:12:35 Gateway listening on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/05/17 - 13:12:39 | 200 |   5.11ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   5.11ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   4.28ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:39 | 200 |   4.81ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   9.29ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   9.66ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   9.99ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 500 |  11.35ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  12.62ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  13.14ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   3.96ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.49ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   5.05ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.75ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  10.16ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   9.19ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 500 |   8.84ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  12.47ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  10.61ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  10.83ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   6.44ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.59ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.98ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.95ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   8.69ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 500 |   6.82ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  10.33ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  10.49ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 500 |   6.22ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  11.04ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  12.34ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.63ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.37ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |    5.3ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   6.38ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   6.98ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 500 |   6.01ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |      7ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 500 |   7.54ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   7.63ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   7.92ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   5.21ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.73ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   5.21ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  10.49ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  11.44ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   12.3ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   9.53ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   8.93ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  10.59ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |    9.7ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   5.77ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.88ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.95ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   5.56ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   6.74ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   8.36ms |       127.0.0.1 | POST     "/v1/credit"
